student_id,gender,study_hours_per_week,sleep_hours_per_night,absences_semester,tutoring,test1_score,final_exam_score
1001,Female,5.07,8.29,4,No,79.64,82.84
1002,Male,5.06,6.63,4,Yes,83.68,87.44
1003,Male,6.47,5.36,6,No,70.75,65.7
1004,Male,7.45,8.43,4,No,77.87,84.44
1005,Female,8.88,7.8,7,No,75.34,74.92
1006,Male,5.72,6.47,5,No,71.41,72.2
1007,Male,9.24,6.27,3,No,80.66,75.42
1008,Female,12.25,6.47,3,Yes,91.61,88.66
1009,Female,3.57,6.54,3,Yes,68.0,69.38
1010,Female,6.58,6.27,3,No,86.93,95.58
1011,Female,8.75,7.64,4,No,80.63,82.6
1012,Male,5.87,9.24,3,No,58.23,61.82
1013,Female,6.54,6.82,7,Yes,75.97,82.97
1014,Male,5.67,5.74,4,No,76.68,72.87
1015,Female,9.25,6.95,1,No,91.4,81.86
1016,Female,8.9,7.96,4,No,75.02,65.96
1017,Male,7.65,7.69,2,No,81.67,79.29
1018,Female,10.06,7.15,3,No,94.82,92.12
1019,Male,4.42,6.79,2,No,67.32,75.49
1020,Female,8.42,5.71,4,No,83.65,85.72
1021,Female,9.43,6.7,2,No,93.14,99.92
1022,Nonbinary,10.28,5.5,1,No,74.91,75.03
1023,Male,8.72,7.62,2,Yes,87.66,75.05
1024,Male,10.07,7.38,2,No,79.26,76.06
1025,Female,5.71,5.64,6,No,76.97,84.0
1026,Male,7.82,5.66,3,No,74.13,81.94
1027,Female,4.44,5.99,4,No,67.75,72.23
1028,Female,12.24,5.36,3,Yes,100.0,96.63
1029,Female,6.59,8.05,4,No,82.92,73.98
1030,Female,9.15,6.1,4,No,78.99,80.48
1031,Male,7.14,7.45,7,Yes,72.43,67.96
1032,Female,4.0,5.65,4,No,71.1,60.76
1033,Female,5.66,5.74,0,Yes,76.36,74.38
1034,Male,4.2,6.29,3,No,72.13,72.55
1035,Female,7.32,5.05,3,Yes,74.47,81.58
1036,Male,7.02,5.95,5,Yes,73.88,83.88
1037,Male,7.63,7.13,1,No,87.39,86.26
1038,Female,3.52,6.0,0,No,72.69,62.94
1039,Female,7.08,6.07,5,No,84.07,79.18
1040,Female,6.01,8.21,4,No,75.46,70.09
1041,Female,9.05,8.08,6,No,74.89,76.91
1042,Nonbinary,7.55,8.21,6,Yes,90.15,94.61
1043,Female,9.69,7.91,1,No,91.13,93.51
1044,Nonbinary,5.86,6.04,4,No,69.81,70.33
1045,Female,1.66,7.83,3,No,79.2,72.12
1046,Male,5.0,7.35,2,No,75.29,74.14
1047,Female,0.0,6.26,1,No,69.95,68.18
1048,Male,9.81,8.09,1,No,100.0,100.0
1049,Male,5.83,6.06,2,No,81.7,90.53
1050,Female,6.97,7.27,3,No,76.08,81.39
1051,Male,10.2,6.19,1,Yes,100.0,98.18
1052,Male,3.85,5.98,4,No,77.3,61.64
1053,Male,4.37,6.91,1,No,55.33,68.77
1054,Male,5.21,5.91,3,No,73.58,72.5
1055,Male,4.01,7.89,4,No,70.48,72.27
1056,Female,4.85,7.15,5,No,66.5,59.47
1057,Male,6.02,7.67,2,No,75.76,78.97
1058,Female,9.87,8.56,3,No,90.64,81.59
1059,Female,9.69,6.41,4,No,90.77,83.39
1060,Female,8.6,9.73,1,No,91.97,100.0
1061,Male,9.44,8.61,4,No,87.57,93.22
1062,Female,6.77,6.01,1,Yes,80.93,74.99
1063,Male,5.66,6.91,5,Yes,73.32,66.22
1064,Male,6.32,7.82,6,No,78.46,65.67
1065,Female,2.4,7.37,3,Yes,74.61,71.59
1066,Female,10.77,7.21,3,No,74.22,80.43
1067,Female,0.24,7.61,0,No,55.66,57.38
1068,Female,7.83,6.33,2,Yes,71.91,58.64
1069,Male,8.33,8.14,9,No,63.56,67.45
1070,Male,1.58,7.36,2,No,71.17,60.17
1071,Male,6.31,7.85,3,Yes,87.81,89.81
1072,Male,4.8,7.62,4,No,65.26,66.56
1073,Male,6.9,8.12,8,No,66.76,55.72
1074,Male,8.05,8.96,3,No,92.46,100.0
1075,Female,4.19,8.22,2,No,76.35,68.32
1076,Male,3.47,5.35,2,Yes,58.06,53.11
1077,Male,10.14,6.32,2,No,75.13,76.56
1078,Female,8.29,6.34,5,No,72.76,73.66
1079,Female,10.8,7.73,3,No,92.37,90.23
1080,Female,7.56,7.87,3,No,82.8,80.26
1081,Female,7.37,8.63,1,Yes,88.86,88.4
1082,Male,6.06,6.86,1,No,90.02,88.94
1083,Male,2.84,5.53,1,Yes,65.68,52.57
1084,Female,3.84,6.4,1,No,73.07,72.11
1085,Male,7.41,8.21,5,No,78.48,81.94
1086,Female,7.49,6.78,5,No,79.76,80.33
1087,Male,9.67,6.72,2,No,85.53,81.65
1088,Male,7.56,7.12,4,Yes,88.26,89.42
1089,Female,4.8,8.92,0,No,81.08,86.09
1090,Female,1.55,6.42,4,No,56.58,59.25
1091,Male,5.0,5.42,4,Yes,78.05,73.11
1092,Male,1.73,5.5,0,No,76.62,77.89
1093,Female,6.91,6.28,5,No,66.5,74.36
1094,Male,7.82,5.8,3,No,82.8,86.49
1095,Male,1.15,6.98,1,No,65.69,65.43
1096,Nonbinary,5.56,6.88,1,No,83.85,72.24
1097,Male,8.24,10.0,4,No,94.89,86.24
1098,Male,4.88,6.8,2,No,83.45,82.09
1099,Male,6.54,8.06,2,Yes,80.75,85.64
1100,Male,8.25,7.87,0,Yes,92.39,82.28
1101,Female,6.45,5.49,0,No,93.46,89.1
1102,Male,12.53,8.36,2,No,99.66,100.0
1103,Female,5.61,8.3,2,Yes,87.69,79.74
1104,Male,5.71,6.48,1,No,80.12,71.36
1105,Female,4.5,8.28,2,No,76.7,68.67
1106,Male,10.34,6.58,4,Yes,81.06,77.87
1107,Female,7.55,5.74,4,No,78.98,79.87
1108,Female,2.95,7.59,6,No,61.41,57.92
1109,Female,5.53,7.28,8,Yes,55.52,56.67
1110,Female,3.39,5.45,6,No,59.48,70.5
1111,Female,2.74,5.77,0,No,58.46,56.3
1112,Male,9.63,6.75,3,No,75.21,75.29
1113,Male,11.21,8.89,2,No,90.36,92.49
1114,Male,4.57,6.94,4,No,74.15,76.72
1115,Male,7.05,8.39,0,Yes,82.21,83.26
1116,Male,5.32,7.15,3,No,70.37,62.02
1117,Female,9.2,6.22,7,No,80.98,76.41
1118,Male,5.0,7.87,4,No,59.71,52.79
1119,Female,5.7,6.46,2,No,81.66,83.48
1120,Nonbinary,4.78,6.86,2,No,71.47,66.57
1121,Male,7.46,6.32,8,Yes,65.1,52.5
1122,Male,4.64,6.96,1,No,90.85,92.07
1123,Nonbinary,5.64,7.38,5,No,73.28,72.62
1124,Male,7.61,5.7,2,No,73.37,51.88
1125,Female,7.26,4.33,8,No,67.21,76.2
1126,Female,2.65,7.89,3,Yes,85.21,73.86
1127,Male,6.59,7.55,5,No,77.43,75.48
1128,Male,5.66,6.19,6,Yes,69.89,68.68
1129,Female,4.57,8.28,4,No,67.39,65.4
1130,Female,3.17,6.01,4,No,69.13,57.47
1131,Male,7.76,9.28,3,No,84.96,86.53
1132,Female,7.39,7.35,1,No,69.41,69.19
1133,Male,6.79,7.33,1,No,81.93,82.27
1134,Female,9.97,6.41,2,No,85.55,90.36
1135,Female,8.66,7.66,3,No,93.16,89.77
1136,Male,6.28,8.54,5,No,67.22,60.21
1137,Female,3.65,8.09,0,No,79.92,81.1
1138,Male,9.38,7.04,4,No,91.39,84.44
1139,Male,5.04,8.79,2,No,87.62,85.17
1140,Female,5.41,7.15,3,No,90.73,86.89
1141,Male,8.56,5.71,3,Yes,76.22,82.5
1142,Female,0.45,6.62,4,No,62.49,64.14
