transaction_day,temperature_f,rain,drinks_sold,pastries_sold,avg_drink_price,avg_pastry_price,revenue
Fri,82.69,No,93.97,55.76,4.34,2.51,547.08
Sat,65.1,No,112.66,61.61,4.42,4.04,746.11
Tue,44.66,No,77.78,46.05,4.81,3.7,544.5
Thu,44.16,No,64.2,44.94,4.48,3.13,428.44
Thu,66.49,No,87.05,40.41,4.45,3.3,520.89
Sun,66.39,No,87.8,54.77,4.32,3.13,550.64
Thu,22.59,No,67.13,39.69,4.57,3.25,435.64
Fri,66.96,No,93.01,49.87,5.38,2.47,623.71
Tue,44.72,No,86.54,46.58,5.01,2.71,560.2
Tue,61.1,No,73.04,45.52,4.27,3.21,457.89
Sat,71.37,No,111.19,68.7,4.14,3.57,705.54
Mon,72.01,No,104.39,47.62,4.79,3.85,683.33
Mon,52.28,No,71.64,40.81,4.84,3.88,504.83
Wed,74.34,Yes,71.46,49.34,4.45,3.78,504.35
Sun,64.25,No,107.24,61.98,4.44,3.96,721.75
Sat,46.8,No,88.41,56.94,3.71,3.11,505.33
Sun,43.38,No,80.98,48.77,5.05,2.84,547.51
Fri,53.08,No,90.28,50.97,4.15,3.85,570.68
Wed,63.16,Yes,58.3,42.04,4.66,3.24,407.66
Wed,53.79,No,81.24,52.2,4.33,4.3,576.26
Fri,31.28,No,76.41,44.44,4.57,3.56,506.93
Fri,52.54,Yes,85.66,47.86,5.05,3.35,593.06
Tue,63.3,No,67.14,40.05,4.43,4.08,460.5
Fri,52.44,No,85.77,52.56,4.15,3.55,541.99
Sat,75.49,No,105.85,63.87,5.09,3.46,759.15
Thu,92.99,No,120.69,47.44,4.3,3.76,697.69
Sat,56.33,No,100.52,56.73,5.47,3.87,769.33
Mon,61.24,No,76.76,53.95,3.92,4.0,516.55
Fri,79.16,No,90.03,45.64,4.19,3.56,539.42
Fri,54.43,No,94.78,52.68,4.92,3.41,645.94
Thu,75.61,No,77.28,48.29,4.07,2.94,456.18
Tue,36.35,No,64.33,49.93,3.69,3.92,433.47
Sun,53.66,No,88.51,52.97,4.73,3.49,603.65
Mon,78.32,No,86.71,53.6,3.84,3.36,513.13
Fri,33.61,No,90.26,43.64,4.3,4.86,600.51
Mon,66.59,No,94.65,54.82,4.26,3.51,595.19
Tue,43.25,No,76.91,43.5,4.82,3.21,510.89
Thu,82.69,No,91.66,57.0,4.91,3.61,655.5
Sat,58.35,No,94.6,62.77,4.58,3.91,678.71
Tue,56.33,No,70.98,40.63,4.09,3.55,434.17
Mon,40.16,Yes,56.61,47.43,4.49,3.86,437.17
Sun,47.41,No,88.82,58.19,5.08,3.38,647.67
Sun,56.02,No,112.62,52.36,4.89,3.71,745.38
Sun,51.64,No,78.43,56.37,4.35,3.43,534.36
Sun,44.98,No,76.18,46.22,5.95,3.49,614.65
Sun,47.05,Yes,64.54,37.5,3.67,4.09,389.99
Fri,44.87,No,71.53,52.76,5.1,2.52,497.42
Wed,55.84,No,66.95,42.49,4.17,3.39,423.1
Thu,56.53,No,72.34,43.81,4.53,3.34,473.99
Sat,42.89,Yes,77.37,51.32,4.09,3.71,506.84
Tue,48.43,Yes,61.38,44.91,4.44,3.8,443.55
Thu,40.52,No,57.44,40.13,4.77,3.09,398.43
Fri,61.0,No,92.76,47.68,4.65,3.01,575.08
Sun,62.2,Yes,85.15,50.17,5.53,3.34,638.77
Tue,53.6,No,83.0,45.73,3.85,3.51,480.1
Sat,38.26,Yes,69.67,49.83,4.56,4.01,517.78
Sun,61.12,Yes,67.34,46.11,5.38,3.67,531.5
Sun,70.56,No,106.33,54.41,4.73,3.09,671.42
Fri,71.1,No,109.23,50.65,4.71,3.51,692.44
Tue,77.51,No,82.29,49.5,4.5,3.44,540.85
Sun,38.1,Yes,92.53,56.31,4.71,3.51,633.57
Fri,19.01,No,67.1,40.24,5.36,3.48,499.82
Fri,39.72,No,61.72,42.98,4.82,3.54,449.61
Wed,39.93,No,77.66,48.23,4.86,2.59,502.38
Wed,43.07,No,72.42,45.65,4.5,3.07,466.24
Wed,56.34,No,85.15,39.63,4.97,3.24,551.85
Thu,58.37,No,80.62,40.45,4.83,3.45,528.81
Fri,92.57,No,104.18,42.7,3.82,3.69,556.03
Fri,44.78,No,68.19,39.62,3.82,3.78,410.22
Wed,86.07,No,105.93,51.22,3.94,3.66,604.95
Tue,91.24,No,110.67,51.82,3.89,2.59,565.27
Fri,68.28,Yes,85.73,47.49,4.48,3.12,532.72
Tue,65.61,No,96.97,53.52,4.48,3.97,646.98
Fri,56.59,No,92.21,48.21,4.59,3.71,602.24
Mon,55.89,No,88.81,37.09,4.59,3.45,535.6
Sun,50.56,No,85.06,54.33,4.71,3.42,586.68
Sat,74.25,No,98.54,59.79,3.31,3.51,535.51
Fri,23.96,No,58.83,48.27,4.75,3.66,456.03
Mon,21.35,No,53.37,42.92,4.35,3.65,388.44
Sun,56.33,No,106.4,54.29,4.66,3.23,671.29
Fri,51.0,No,77.99,52.76,4.61,3.27,531.89
Sat,49.32,No,93.22,53.61,5.41,3.53,693.53
Fri,36.54,No,76.02,39.94,3.99,3.22,431.95
Sun,73.44,No,89.84,52.41,4.83,3.65,624.85
Sat,54.77,No,104.7,63.04,4.58,3.91,726.04
Sat,66.27,No,84.1,58.32,4.09,3.34,538.98
Mon,79.97,No,91.24,47.49,5.38,3.26,646.07
Mon,76.97,No,77.76,48.36,4.68,3.32,524.74
Mon,57.38,No,68.08,34.59,4.6,3.87,447.29
Tue,58.92,Yes,56.89,32.65,4.87,3.58,393.75
Thu,46.4,No,69.7,45.11,4.64,3.52,481.79
Thu,50.1,Yes,79.01,46.49,4.55,3.9,541.15
Sat,82.9,No,110.86,66.29,4.43,4.0,756.01
Fri,65.19,Yes,104.12,49.41,4.97,3.75,702.61
Fri,63.67,No,99.61,51.42,4.72,3.89,670.69
Sat,46.02,No,85.18,58.43,5.06,3.46,633.09
Wed,26.46,No,54.4,42.6,4.33,3.68,392.12
Tue,54.66,No,66.08,55.91,4.64,3.52,503.08
Sat,71.29,No,111.04,55.24,4.74,3.6,725.32
Wed,64.08,No,78.11,44.04,4.65,3.73,527.62
Sat,69.11,No,99.9,58.68,4.96,3.24,685.04
Fri,62.93,Yes,78.91,31.97,4.27,3.53,449.72
Wed,44.53,No,80.86,36.71,4.79,3.35,510.54
Mon,78.12,No,93.71,46.23,4.99,3.7,638.4
Sat,55.21,No,92.61,61.19,5.02,3.46,676.56
Sat,69.25,Yes,107.91,61.46,3.83,2.87,590.2
Sat,50.4,No,82.8,56.2,5.37,3.13,620.86
Fri,78.48,No,104.88,52.98,5.21,3.39,725.64
Thu,69.01,No,94.41,49.89,4.98,4.03,671.44
Thu,54.71,No,70.95,44.89,4.83,2.47,453.88
Sat,36.3,No,68.57,56.55,4.24,4.1,522.29
Sat,57.38,No,81.97,47.21,3.83,2.78,445.66
Sun,43.33,No,75.78,50.74,4.65,3.9,550.36
Fri,51.42,No,84.93,34.78,4.58,3.91,524.72
Sun,71.45,No,111.53,64.93,4.31,3.86,731.1
Wed,49.03,No,71.38,43.78,3.93,3.66,440.97
Wed,39.78,No,52.29,41.63,5.06,4.12,436.16
Sun,64.79,No,95.82,46.73,5.01,4.34,682.45
Fri,95.0,No,103.86,47.43,4.83,3.2,653.24
Tue,65.52,Yes,97.39,52.69,4.53,4.46,675.63
Wed,52.76,No,85.4,35.98,3.96,3.5,463.79
Tue,72.33,No,97.06,57.12,4.42,4.14,665.51
Tue,37.47,No,62.72,40.41,4.63,3.1,415.57
Wed,60.28,No,69.97,55.79,4.65,4.1,553.98
Thu,72.07,No,89.99,46.39,4.51,3.66,575.65
Sat,66.26,No,90.95,56.45,4.86,3.58,644.54
Sat,52.53,No,89.83,42.22,4.43,3.39,541.2
Sat,67.56,No,118.24,65.23,5.12,3.3,820.22
Fri,55.08,No,76.96,42.7,5.21,2.91,524.79
Tue,44.09,No,77.23,46.05,4.92,3.63,547.11
Thu,67.1,No,70.84,42.66,4.93,3.84,512.75
Sat,41.62,No,59.49,52.6,4.58,4.43,505.82
Wed,65.21,Yes,64.07,35.42,4.59,4.05,437.7
Sun,61.12,No,92.58,64.71,4.9,3.02,648.72
Sat,60.53,Yes,89.36,65.06,5.38,3.06,679.7
Thu,89.82,No,102.37,39.72,4.39,3.47,587.09
Sat,42.04,Yes,69.66,55.93,4.99,3.76,558.18
Wed,36.6,Yes,55.27,40.81,4.46,3.53,390.47
Tue,61.63,No,82.96,45.96,4.66,3.84,562.66
Fri,51.17,No,89.66,49.51,5.12,3.29,621.93
Wed,62.79,Yes,74.85,36.98,4.55,4.28,498.57
Fri,37.48,Yes,69.44,40.29,5.01,3.79,500.74
Thu,61.63,No,90.13,44.34,4.83,3.54,592.17
Mon,65.46,Yes,60.99,45.35,4.57,3.39,432.22
Fri,57.19,No,94.28,55.32,4.48,3.85,635.24
Mon,45.38,No,73.14,47.77,4.91,3.26,514.29
Tue,75.36,No,68.69,40.83,4.89,3.1,462.09
Wed,69.37,No,97.69,50.39,4.38,3.51,605.02
Tue,59.45,Yes,75.28,43.5,4.12,3.5,462.38
Sun,56.69,No,105.67,66.12,5.04,3.28,749.36
Sun,23.93,No,78.12,45.09,3.81,3.27,444.8
Wed,60.69,Yes,50.16,38.39,4.75,3.39,368.61
Sat,41.25,Yes,83.74,54.4,5.3,3.43,630.11
Fri,54.74,Yes,63.43,30.44,4.33,3.48,380.25
Fri,45.75,No,114.62,59.76,4.26,3.48,695.94
Sat,54.55,No,94.44,55.33,4.93,3.26,645.66
Sat,80.85,Yes,109.69,61.37,4.45,3.12,679.89
Mon,59.5,No,91.02,46.46,4.29,3.34,545.9
Tue,73.04,No,89.42,46.15,4.17,3.51,534.78
Thu,43.69,No,69.15,36.6,4.51,3.87,453.64
Sat,67.12,No,110.57,56.83,5.16,3.03,742.59
Tue,68.54,No,88.03,55.07,4.99,3.38,625.38
Sat,85.22,Yes,107.05,58.88,4.89,3.4,723.57
Mon,22.2,No,48.6,29.81,4.75,3.85,345.47
Mon,60.66,Yes,66.84,36.97,4.33,3.0,400.69
Mon,56.43,No,69.99,45.57,4.14,3.61,454.08
Tue,69.91,No,89.5,49.1,5.16,3.84,650.08
Mon,64.31,No,65.5,35.24,4.8,3.47,436.65
Sat,47.49,No,86.61,57.93,4.91,3.62,635.53
Thu,34.17,Yes,52.66,30.39,4.9,3.26,356.91
Thu,52.78,No,84.25,38.04,4.99,3.34,547.71
Thu,75.04,No,86.71,44.37,5.06,2.43,546.48
Sun,74.36,No,94.66,61.0,4.73,3.37,653.7
Wed,49.73,No,78.48,42.65,3.81,4.21,478.8
Thu,53.91,Yes,75.93,36.22,4.26,3.04,433.92
Sun,49.16,No,80.81,47.23,4.93,3.99,586.85
Thu,76.71,Yes,97.65,51.65,4.88,4.15,690.71
Mon,84.09,No,77.41,49.4,4.9,3.5,552.51
Mon,73.36,Yes,91.41,48.0,4.37,3.26,556.51
Tue,52.13,No,80.7,40.42,3.75,3.62,449.13
Sat,91.66,No,105.4,56.78,3.95,4.09,648.47
Fri,62.32,No,80.54,42.48,4.89,2.94,518.83
Fri,56.88,No,82.87,37.2,4.78,2.63,493.88
Sun,33.28,No,92.08,57.99,4.78,3.64,650.92
Mon,56.82,No,83.13,40.98,4.43,3.21,500.06
Mon,73.67,No,96.9,46.64,4.79,3.33,619.59
Thu,63.68,Yes,87.5,48.33,4.59,3.8,585.01
Fri,84.51,No,94.57,52.49,4.34,3.58,598.6
Wed,53.88,No,69.03,37.96,5.02,4.04,500.06
Mon,46.99,No,53.24,44.05,4.42,3.89,407.15
Sun,44.34,No,62.65,52.56,4.44,3.84,479.92
Sun,83.42,No,106.11,51.61,4.72,3.97,706.2
Mon,63.04,No,57.11,34.58,5.37,4.2,452.11
Wed,66.7,No,78.7,35.66,4.77,3.86,513.39
Fri,41.45,No,89.48,49.79,4.91,3.68,623.05
Mon,45.45,No,68.15,31.6,5.37,3.78,485.38
Sat,70.57,Yes,81.14,52.03,4.76,2.25,503.13
Sat,67.17,Yes,101.33,57.82,4.81,2.78,647.97
Fri,45.18,No,67.38,47.21,5.1,3.13,491.5
Tue,58.85,No,82.47,56.24,4.92,3.7,613.56
Wed,55.0,No,83.31,47.49,4.69,4.46,602.95
Fri,89.22,No,89.58,51.54,4.95,3.1,603.32
Mon,82.78,No,101.11,54.96,3.56,3.18,534.79
Thu,65.45,No,66.68,39.69,5.22,2.87,462.41
Tue,71.15,No,86.8,44.74,4.5,3.48,545.93
Wed,47.25,No,75.0,46.42,4.97,3.32,526.58
Wed,84.77,No,92.6,49.77,4.55,3.2,580.85
Sun,62.92,No,96.26,57.8,4.83,3.81,685.38
Mon,63.11,No,67.31,44.9,4.47,3.8,471.42
Mon,43.34,Yes,86.08,43.37,4.67,4.45,594.9
