student_id,grade_level,favorite_subject,phone_hours_per_day,homework_minutes_per_day,stress_level_0to10,gpa_0to4
3001,12,History,5.22,113.61,10.0,2.767
3002,10,Arts,6.7,66.17,1.97,2.77
3003,9,English,4.42,113.42,4.56,3.51
3004,11,English,3.81,60.04,8.19,3.477
3005,9,History,4.07,110.11,8.13,3.422
3006,9,English,3.54,15.74,3.99,3.057
3007,10,Science,3.75,59.86,9.27,2.601
3008,10,History,4.47,20.71,7.19,1.639
3009,10,Math,4.53,80.49,6.55,2.877
3010,10,English,4.85,122.11,7.6,3.148
3011,10,CS,3.92,74.37,10.0,2.61
3012,9,Science,7.44,35.75,6.73,2.737
3013,9,Science,2.82,126.86,8.35,3.693
3014,9,CS,4.87,113.3,6.8,3.038
3015,12,Math,6.52,86.17,6.91,3.015
3016,9,History,5.82,95.18,6.77,3.59
3017,9,Arts,2.89,47.76,5.3,2.796
3018,10,English,3.49,47.49,7.39,2.456
3019,9,Math,7.55,15.07,5.9,2.477
3020,10,English,4.77,168.72,7.72,3.679
3021,9,Math,2.23,138.21,7.8,3.305
3022,10,English,6.0,63.7,5.46,2.916
3023,9,History,4.26,48.55,7.32,2.729
3024,10,English,4.5,82.99,5.87,2.918
3025,10,Math,3.39,64.88,5.22,3.625
3026,12,History,5.03,74.75,9.6,2.289
3027,9,Science,1.6,120.74,9.51,3.16
3028,12,Science,3.37,24.53,5.88,3.363
3029,9,Math,3.36,89.89,0.49,2.763
3030,10,Science,2.19,129.57,4.56,3.767
3031,9,Science,6.3,70.11,7.33,3.444
3032,12,Arts,4.63,15.94,1.17,2.821
3033,12,English,6.99,29.99,4.63,2.407
3034,9,Science,4.37,113.32,8.39,2.985
3035,10,Science,6.14,69.67,8.81,2.353
3036,10,Science,5.63,36.98,4.67,2.753
3037,12,Arts,3.16,91.83,8.35,2.756
3038,11,English,5.5,116.59,5.92,3.503
3039,10,CS,2.74,87.98,8.37,3.018
3040,11,Science,5.67,0.0,4.1,2.912
3041,10,History,4.51,144.14,3.33,3.539
3042,12,Math,3.83,81.78,9.87,3.088
3043,9,CS,2.01,102.89,8.57,3.343
3044,9,Science,4.91,87.1,4.47,3.203
3045,10,Math,7.08,101.95,4.98,3.661
3046,10,Arts,5.25,69.6,7.88,2.398
3047,11,English,5.84,130.27,8.44,2.881
3048,12,English,3.0,82.48,2.86,2.983
3049,11,Arts,3.77,48.99,6.41,2.755
3050,10,CS,4.5,55.04,7.39,2.334
3051,11,Science,1.19,50.0,5.05,3.418
3052,9,Science,6.62,88.94,6.65,2.816
3053,9,Arts,1.08,29.73,5.2,3.193
3054,10,Arts,3.15,148.64,7.77,3.805
3055,12,Science,1.42,78.68,6.96,3.349
3056,11,English,1.4,95.28,3.43,3.293
3057,11,Math,2.09,13.49,6.8,2.287
3058,12,History,6.15,4.37,6.21,2.377
3059,12,Science,2.63,158.24,7.6,3.879
3060,12,History,3.96,97.22,7.0,3.053
3061,12,Math,6.2,73.5,9.38,2.421
3062,10,Science,4.3,70.1,4.67,2.863
3063,11,Science,4.98,80.53,2.57,3.18
3064,9,History,4.08,86.17,9.21,3.356
3065,9,Science,4.69,71.0,9.85,2.866
3066,10,Arts,3.83,113.9,7.33,3.117
3067,10,Math,3.14,105.51,8.1,2.55
3068,10,Arts,3.43,52.77,8.09,2.825
3069,12,Science,5.52,22.18,4.1,2.333
3070,12,History,0.85,53.02,5.78,2.598
3071,11,Science,4.47,61.8,4.47,2.788
3072,9,Math,3.06,104.23,8.0,3.608
3073,9,Arts,1.03,175.19,8.58,4.0
3074,12,CS,6.02,92.84,7.93,2.914
3075,9,Math,4.23,94.17,9.4,3.159
3076,10,Science,5.26,20.06,8.25,2.357
3077,9,Math,3.45,95.76,7.58,3.211
3078,12,Science,5.48,27.13,8.16,2.305
3079,10,CS,0.27,143.18,8.55,3.846
3080,10,Arts,3.51,61.9,6.26,3.232
3081,11,Science,4.19,130.43,6.75,2.859
3082,12,Math,1.3,54.9,9.97,2.449
3083,11,Math,4.71,60.45,3.83,3.13
3084,9,Science,3.9,16.65,7.31,2.669
3085,9,CS,8.79,70.37,8.81,2.564
3086,12,English,4.56,76.1,3.52,3.309
3087,11,Math,4.51,106.17,8.54,3.534
3088,9,Arts,6.05,91.03,7.19,2.664
3089,9,Arts,6.76,100.64,5.34,2.759
3090,9,Math,5.53,102.73,8.86,3.257
3091,11,CS,3.99,28.49,8.79,3.091
3092,12,Math,3.69,73.69,7.71,3.493
3093,9,History,4.28,76.19,10.0,3.066
3094,12,English,3.86,49.76,6.77,3.301
3095,10,CS,2.45,76.84,6.05,2.53
3096,10,CS,4.71,106.75,7.48,3.568
3097,10,CS,1.77,95.94,5.4,3.037
3098,11,Science,6.71,17.06,5.72,2.179
3099,11,CS,8.36,88.15,6.32,2.989
3100,10,Science,5.08,112.15,8.54,3.526
3101,11,Math,1.93,60.8,8.45,2.259
3102,9,Arts,5.7,97.73,7.75,2.488
3103,9,History,4.24,54.12,7.84,2.23
3104,10,Math,1.54,36.88,3.72,2.528
3105,10,English,3.22,76.7,10.0,2.68
3106,10,History,4.52,50.81,8.95,2.692
3107,9,Science,1.64,34.63,6.76,2.723
3108,11,Science,2.95,83.61,4.26,3.187
3109,10,History,5.13,88.08,3.48,3.136
3110,12,Math,5.88,31.03,0.87,2.816
3111,10,Math,4.56,91.61,7.89,2.465
3112,11,Arts,4.76,69.8,10.0,2.663
3113,9,Math,3.45,137.24,10.0,3.81
3114,10,History,5.7,93.51,6.42,3.05
3115,10,English,6.04,51.21,8.8,2.821
3116,9,CS,2.14,71.89,6.09,2.959
3117,10,Arts,1.14,34.81,5.48,2.483
3118,12,Science,3.98,103.13,8.04,3.251
3119,9,Science,4.62,92.99,8.67,3.516
3120,9,Arts,4.91,140.68,4.87,3.535
3121,10,Science,2.28,83.0,5.75,3.829
3122,11,Science,0.47,106.52,6.45,3.358
3123,10,Arts,6.81,110.07,8.68,3.285
3124,12,Arts,2.64,0.0,8.39,2.813
3125,10,CS,4.01,123.64,7.79,3.054
3126,12,Science,3.07,28.47,8.04,2.515
3127,11,History,1.01,90.95,3.02,3.289
3128,12,English,4.93,41.83,6.03,3.039
3129,11,Arts,4.45,79.16,5.52,2.85
3130,10,Science,0.29,66.06,7.63,2.982
3131,11,Science,5.76,43.58,7.7,2.237
3132,12,Science,2.74,91.24,3.78,3.654
3133,10,English,4.0,54.55,5.51,3.316
3134,9,CS,3.66,49.84,6.45,2.804
3135,9,Arts,5.98,74.26,8.05,2.993
3136,11,Arts,3.4,118.94,6.25,2.778
3137,12,CS,2.93,36.9,8.03,3.13
3138,12,Math,2.63,40.98,7.53,2.506
3139,9,Science,3.73,130.26,4.29,3.801
3140,10,CS,1.8,55.57,1.14,3.227
3141,10,Science,3.68,81.03,3.68,2.945
3142,9,Math,3.15,20.64,5.97,2.931
3143,10,Math,2.65,75.9,7.52,3.276
3144,12,History,5.87,20.88,6.89,2.505
3145,9,Science,4.58,172.05,8.23,3.655
3146,12,English,7.89,53.58,10.0,2.681
3147,12,CS,0.59,10.27,7.22,2.515
3148,12,Math,4.11,99.06,2.35,3.105
3149,12,English,8.01,101.3,8.86,2.661
3150,9,English,5.04,96.0,10.0,2.276
3151,9,History,3.07,150.23,3.84,3.07
3152,11,Math,2.01,96.16,8.12,3.219
3153,9,English,7.81,123.94,10.0,2.847
3154,9,History,5.35,135.6,8.28,2.727
3155,11,English,7.43,88.27,6.66,2.93
3156,11,English,2.22,117.35,5.01,3.443
3157,12,Science,3.76,22.69,6.05,2.838
3158,9,English,6.53,108.49,5.36,3.396
3159,11,History,0.2,112.37,4.74,3.754
3160,12,Arts,6.66,77.42,8.61,2.35
