movie_id,genre,runtime_minutes,budget_millions,sequel,opening_weekend_millions,box_office_millions,rating_1to10
4001,Sci-Fi,110.19,35.94,Yes,43.43,112.46,5.93
4002,Comedy,91.96,13.59,No,23.6,34.03,6.28
4003,Comedy,93.61,70.02,No,11.43,99.67,6.64
4004,Sci-Fi,118.52,27.29,No,23.84,60.78,6.47
4005,Drama,128.38,17.41,No,5.6,23.4,7.35
4006,Action,100.45,37.42,Yes,9.74,79.52,6.34
4007,Romance,166.0,63.71,No,20.37,101.68,7.38
4008,Romance,94.83,14.49,Yes,29.4,91.52,5.85
4009,Comedy,107.74,44.17,No,9.3,43.0,6.22
4010,Animation,120.48,34.62,Yes,16.33,30.18,8.68
4011,Horror,114.26,39.65,No,5.22,36.55,5.3
4012,Romance,110.71,24.04,Yes,10.94,49.39,6.81
4013,Thriller,131.82,14.67,No,30.52,42.08,7.04
4014,Horror,119.44,19.27,No,1.72,58.55,6.14
4015,Thriller,94.8,24.39,No,19.93,60.24,7.3
4016,Comedy,101.14,66.85,Yes,44.36,109.33,6.13
4017,Romance,104.11,17.66,No,0.5,5.82,5.75
4018,Comedy,85.53,23.11,No,0.5,24.18,6.66
4019,Sci-Fi,126.67,45.08,No,10.23,89.46,6.04
4020,Comedy,132.13,63.44,No,43.62,140.26,6.45
4021,Romance,119.01,7.34,No,0.5,1.0,7.12
4022,Horror,106.17,30.83,Yes,33.17,78.17,5.4
4023,Animation,98.81,28.98,Yes,11.72,59.67,8.57
4024,Drama,146.76,28.81,Yes,2.61,1.0,7.31
4025,Romance,98.94,31.84,No,4.47,69.63,5.08
4026,Drama,161.03,23.22,No,0.5,21.25,5.3
4027,Comedy,77.96,31.63,Yes,10.22,52.48,5.41
4028,Horror,109.05,32.58,No,4.81,56.18,4.81
4029,Drama,121.58,63.78,No,0.5,11.21,6.3
4030,Drama,99.51,7.13,Yes,0.5,1.0,5.69
4031,Thriller,130.87,25.17,No,13.15,45.34,5.24
4032,Comedy,111.36,11.6,Yes,31.13,60.15,4.73
4033,Sci-Fi,131.98,39.93,No,56.14,144.76,6.19
4034,Romance,95.82,74.47,No,11.27,117.64,5.94
4035,Comedy,110.71,24.54,No,0.5,20.36,7.44
4036,Horror,111.5,26.1,Yes,29.57,78.67,4.43
4037,Thriller,97.11,15.83,Yes,20.44,86.42,5.87
4038,Thriller,86.61,39.71,Yes,38.38,117.14,6.33
4039,Drama,159.4,16.65,No,22.65,1.0,6.95
4040,Animation,97.87,20.59,No,13.57,50.65,7.07
4041,Comedy,97.57,38.64,No,7.96,74.96,6.57
4042,Comedy,83.69,26.78,No,35.99,59.04,6.08
4043,Horror,98.48,38.49,No,0.5,54.66,7.39
4044,Animation,74.97,36.34,No,26.75,151.58,7.89
4045,Comedy,100.26,48.26,No,11.39,56.89,8.26
4046,Drama,148.72,71.04,No,0.5,43.76,8.37
4047,Action,109.17,32.65,No,21.44,95.97,4.79
4048,Drama,140.04,43.54,Yes,0.5,13.93,8.49
4049,Romance,111.56,42.55,Yes,8.84,72.95,7.78
4050,Romance,126.88,21.7,Yes,0.5,1.0,8.22
4051,Comedy,92.15,45.15,Yes,10.18,87.34,7.82
4052,Thriller,107.41,37.1,No,6.79,57.17,7.56
4053,Comedy,96.2,21.82,No,35.02,87.66,5.9
4054,Drama,129.07,9.93,No,0.5,1.0,6.32
4055,Sci-Fi,99.87,20.08,Yes,41.73,91.57,5.7
4056,Drama,105.4,56.9,No,27.08,48.51,6.63
4057,Animation,99.11,15.03,No,3.55,46.91,5.64
4058,Drama,136.76,33.12,No,15.31,66.89,7.14
4059,Horror,118.34,17.95,No,13.23,26.12,5.46
4060,Action,108.4,23.88,No,57.12,143.7,6.89
4061,Thriller,116.52,40.23,No,47.23,107.38,5.69
4062,Sci-Fi,149.94,26.95,No,0.5,38.8,7.03
4063,Drama,113.99,38.77,No,26.06,63.22,5.71
4064,Drama,110.67,23.25,No,0.5,37.57,6.39
4065,Action,101.73,21.41,Yes,2.53,45.14,5.49
4066,Romance,115.32,21.18,No,0.5,23.0,4.78
4067,Drama,129.91,38.09,No,23.51,91.25,6.07
4068,Action,144.81,48.28,No,3.14,52.23,7.27
4069,Romance,126.54,33.89,Yes,34.33,79.22,6.31
4070,Sci-Fi,150.07,19.55,Yes,15.62,55.11,6.98
4071,Animation,103.7,34.05,No,41.13,71.67,5.36
4072,Action,95.97,14.84,No,37.38,102.48,5.63
4073,Thriller,122.34,11.09,Yes,24.56,41.01,7.7
4074,Horror,104.75,44.06,No,0.5,36.48,5.9
4075,Thriller,70.0,25.9,No,4.72,28.17,5.86
4076,Sci-Fi,138.17,15.24,No,23.97,87.42,6.34
4077,Comedy,86.26,19.34,No,15.44,70.49,5.56
4078,Comedy,130.19,58.99,Yes,29.38,128.93,5.93
4079,Romance,111.55,53.36,No,13.18,62.14,6.38
4080,Action,108.5,35.79,Yes,51.72,167.66,6.55
4081,Comedy,129.2,39.92,No,9.7,65.02,6.66
4082,Drama,144.29,39.07,No,17.72,49.14,5.94
4083,Drama,120.91,50.63,No,15.46,10.82,7.8
4084,Drama,83.43,22.91,No,21.94,51.75,5.44
4085,Horror,127.86,19.11,No,0.5,1.0,4.52
4086,Drama,127.4,28.25,No,0.5,48.18,6.91
4087,Sci-Fi,125.51,33.68,No,8.35,35.71,7.99
4088,Comedy,100.13,20.83,Yes,12.26,47.67,6.35
4089,Drama,98.77,20.24,No,0.5,1.0,6.3
4090,Horror,108.08,21.31,Yes,0.5,15.99,5.15
4091,Animation,91.95,18.09,Yes,37.55,98.75,6.42
4092,Thriller,127.77,11.07,No,20.49,75.29,6.78
4093,Sci-Fi,163.2,12.04,No,8.42,11.97,7.23
4094,Comedy,141.89,12.35,No,12.03,31.44,7.3
4095,Comedy,112.57,46.03,Yes,2.31,30.85,5.83
4096,Action,96.49,17.39,No,15.06,33.33,5.94
4097,Animation,75.74,10.14,No,1.83,75.97,6.26
4098,Comedy,91.78,17.92,Yes,0.5,38.68,6.56
4099,Horror,115.85,27.95,No,12.49,22.15,4.86
4100,Thriller,117.76,18.46,No,1.88,37.11,5.73
4101,Comedy,107.95,8.6,No,0.5,10.29,5.65
4102,Sci-Fi,109.43,15.09,Yes,9.78,1.0,6.1
4103,Action,146.24,36.15,No,7.35,20.31,7.46
4104,Animation,109.01,13.81,Yes,32.03,95.87,7.11
4105,Comedy,88.29,44.15,No,10.58,1.0,5.22
4106,Drama,111.62,6.92,Yes,16.92,38.9,4.88
4107,Comedy,99.69,56.66,Yes,4.16,55.26,5.69
4108,Drama,127.94,47.43,Yes,0.5,61.84,7.8
4109,Romance,106.87,23.12,No,9.61,69.16,7.83
4110,Horror,98.92,14.15,Yes,11.86,34.87,4.27
4111,Sci-Fi,91.02,36.9,No,27.72,87.75,7.45
4112,Action,143.49,51.08,No,0.5,11.09,7.26
4113,Drama,123.28,13.43,No,0.5,4.6,5.67
