listing_id,neighborhood,bedrooms,bathrooms,square_feet,age_years,distance_to_city_miles,garage,price_usd
5001,West,3,2.83,2263.18,28.2,2.41,No,638960.3
5002,West,2,1.37,1666.38,42.23,12.16,Yes,345760.22
5003,Central,3,2.94,1944.52,21.09,4.71,Yes,687852.18
5004,South,3,3.63,1849.0,15.95,15.31,Yes,453648.89
5005,South,3,3.13,1867.85,19.19,9.29,Yes,477080.05
5006,Central,3,2.07,2255.56,52.28,0.2,Yes,705625.71
5007,East,3,1.85,2163.6,17.07,5.68,Yes,549014.91
5008,Central,1,1.0,1085.97,30.3,6.35,No,358426.42
5009,East,3,3.12,2207.73,22.96,4.76,No,597113.23
5010,West,4,3.61,2400.38,29.82,10.75,Yes,695884.22
5011,North,1,1.0,1183.03,52.25,9.55,Yes,314400.94
5012,East,2,1.87,1366.36,3.02,9.95,Yes,361802.48
5013,West,5,4.5,3200.0,9.82,4.82,Yes,976384.42
5014,North,2,1.49,1225.49,2.29,5.13,Yes,384471.91
5015,East,4,3.21,2536.47,36.85,4.5,Yes,684714.97
5016,West,1,1.0,859.69,54.09,1.69,Yes,279179.5
5017,Central,4,3.32,2751.45,18.02,4.15,No,904944.22
5018,Central,2,1.0,1222.76,15.93,7.01,Yes,423175.83
5019,Central,1,1.0,1201.6,28.83,8.21,No,365735.9
5020,Central,3,3.28,1971.54,27.74,2.02,No,651227.24
5021,Central,3,3.04,2152.68,10.5,3.9,Yes,761775.19
5022,West,2,2.21,1823.04,0.0,9.31,No,524540.92
5023,South,2,2.03,1716.83,31.42,6.2,No,420569.57
5024,West,2,1.0,1522.5,3.29,9.68,Yes,414441.92
5025,West,3,2.81,2149.35,36.09,7.35,No,661147.01
5026,West,2,2.63,1617.27,20.27,12.31,Yes,447553.36
5027,Central,3,2.1,2055.6,21.05,3.75,Yes,671478.72
5028,Central,2,1.52,1463.63,36.02,4.02,Yes,520460.24
5029,West,3,2.67,2092.39,18.22,7.09,No,595413.64
5030,West,3,3.06,2188.57,23.28,5.61,Yes,609290.39
5031,South,3,2.83,2149.33,39.84,12.6,No,451319.41
5032,East,2,2.22,1538.1,30.94,10.26,Yes,384447.75
5033,South,3,3.0,2119.35,45.92,0.27,No,559715.79
5034,South,4,3.16,2691.43,33.48,7.02,Yes,595246.54
5035,East,1,1.0,1240.66,6.29,9.55,No,318121.75
5036,South,3,2.51,2066.93,38.85,7.18,Yes,509535.28
5037,Central,5,4.5,3194.32,45.09,2.7,No,980000.0
5038,North,2,3.09,1552.97,27.02,10.72,No,450019.48
5039,West,3,2.53,2181.29,22.9,7.24,Yes,623083.68
5040,South,4,4.22,2851.75,18.6,2.27,No,734336.31
5041,South,4,4.5,2595.81,27.88,5.93,Yes,677482.79
5042,West,3,3.29,1977.24,6.88,7.07,No,566910.03
5043,Central,4,2.87,2602.27,20.33,0.2,No,902595.93
5044,West,2,1.29,1771.14,32.22,5.05,No,480352.34
5045,East,2,1.0,1599.28,35.36,5.91,Yes,417922.12
5046,South,3,2.29,2080.63,15.46,4.53,Yes,523482.79
5047,South,4,3.15,2753.34,35.42,10.59,Yes,662197.4
5048,Central,2,1.82,1884.33,36.73,1.04,Yes,646471.46
5049,North,2,1.41,1502.64,21.31,8.63,Yes,426453.43
5050,Central,4,4.26,2831.09,15.65,2.57,No,943676.52
5051,North,4,3.68,2435.28,27.85,6.49,Yes,704690.33
5052,Central,4,4.5,2598.19,36.01,8.95,Yes,814920.02
5053,North,1,1.0,1463.4,39.06,8.03,Yes,352603.44
5054,South,3,2.49,1977.24,8.35,8.96,Yes,473339.54
5055,East,4,3.68,2936.6,63.28,8.81,No,722046.53
5056,East,3,1.83,2201.82,36.22,5.76,No,527359.9
5057,East,3,1.87,1957.39,16.51,2.37,No,568832.2
5058,East,2,1.92,1834.1,57.71,7.21,Yes,421561.92
5059,West,4,3.4,2589.88,37.69,5.06,No,768521.56
5060,Central,5,4.5,3200.0,20.53,1.79,Yes,980000.0
5061,East,3,2.63,1516.75,0.0,12.07,Yes,430553.88
5062,West,4,3.18,2616.84,58.11,6.18,Yes,723459.17
5063,East,1,1.0,1086.6,20.64,7.44,Yes,277002.02
5064,Central,4,3.51,2632.07,24.71,6.03,Yes,825454.46
5065,North,3,2.38,1907.8,43.32,5.97,No,562795.0
5066,North,2,1.0,1774.93,57.21,14.42,Yes,409545.47
5067,West,3,3.2,1954.99,38.97,3.11,Yes,633949.08
5068,Central,4,3.56,2872.04,32.72,1.09,No,975433.92
5069,Central,3,1.54,1920.18,40.88,0.64,Yes,616408.22
5070,West,1,1.0,1223.88,50.37,7.65,Yes,337231.48
5071,South,4,3.45,2749.09,41.09,1.62,Yes,713731.98
5072,East,3,2.36,2209.79,11.44,7.63,No,559058.94
5073,Central,4,3.25,2433.38,31.15,4.56,No,806723.05
5074,West,4,3.39,2465.14,19.47,3.55,No,736648.8
5075,South,3,2.13,1798.51,32.93,4.28,No,486897.39
5076,South,3,3.19,2142.92,22.36,3.25,Yes,542589.67
5077,West,4,4.5,2585.13,35.6,7.79,Yes,726175.65
5078,South,2,2.51,1601.21,4.01,13.62,No,407631.62
5079,North,2,2.1,1570.48,32.66,9.7,Yes,384945.5
5080,Central,2,2.81,1888.19,19.41,6.17,No,633882.66
5081,West,4,3.35,2848.1,0.0,3.11,Yes,856096.6
5082,Central,3,3.12,2315.14,38.56,5.47,No,766196.27
5083,Central,2,1.89,1410.67,11.3,1.09,No,559794.58
5084,East,3,2.9,2338.75,15.52,10.71,Yes,575037.41
5085,East,2,1.93,1648.95,29.62,9.36,No,410813.94
5086,East,1,1.37,1105.92,32.59,8.86,Yes,266886.98
5087,Central,2,1.0,1718.02,68.64,6.79,Yes,530883.07
5088,South,2,1.33,1432.37,44.87,10.08,No,297811.95
5089,West,3,1.8,1949.11,14.73,11.92,No,436205.9
