bill_amount,tip_amount,day,time,party_size,smoker,gender,tip_rate
47.24,8.52,Thu,Lunch,1,Yes,Male,0.1804
24.45,4.63,Sat,Dinner,3,No,Female,0.1893
26.6,3.44,Sun,Dinner,3,Yes,Male,0.1292
32.17,6.17,Sun,Dinner,8,Yes,Male,0.1918
25.11,3.87,Fri,Dinner,5,No,Male,0.1542
42.23,7.0,Sun,Lunch,3,Yes,Female,0.1657
44.01,7.75,Thu,Lunch,3,Yes,Female,0.176
36.88,6.89,Fri,Lunch,3,No,Male,0.1869
28.47,4.72,Sun,Lunch,3,No,Male,0.1656
28.17,5.36,Sat,Lunch,7,No,Female,0.1903
39.08,5.86,Thu,Dinner,3,Yes,Male,0.15
70.31,11.51,Fri,Dinner,2,No,Female,0.1636
25.58,4.92,Sat,Lunch,3,No,Male,0.1923
42.99,7.38,Thu,Dinner,2,Yes,Female,0.1717
38.08,5.78,Fri,Lunch,3,No,Male,0.1517
14.32,2.31,Fri,Lunch,1,Yes,Female,0.1612
14.01,1.9,Sun,Lunch,3,Yes,Female,0.1357
36.99,5.58,Thu,Dinner,3,No,Male,0.1508
44.86,7.88,Sun,Dinner,3,Yes,Female,0.1756
34.22,6.38,Fri,Lunch,2,Yes,Female,0.1863
29.12,5.15,Sat,Lunch,7,No,Male,0.1769
27.83,4.97,Sat,Dinner,6,No,Male,0.1784
35.51,6.46,Fri,Dinner,6,Yes,Male,0.1819
70.1,13.86,Sun,Dinner,1,No,Male,0.1978
22.81,4.95,Sun,Lunch,5,No,Female,0.2169
42.41,7.92,Fri,Lunch,4,Yes,Male,0.1867
30.19,5.08,Fri,Lunch,3,No,Female,0.1684
54.53,8.93,Sun,Lunch,4,No,Male,0.1638
31.54,5.31,Fri,Dinner,4,No,Female,0.1685
53.22,10.45,Fri,Dinner,8,Yes,Female,0.1964
30.39,4.78,Fri,Lunch,3,No,Female,0.1571
42.74,7.4,Sun,Dinner,6,No,Male,0.1731
64.99,13.74,Thu,Dinner,6,Yes,Male,0.2114
36.4,5.65,Sun,Dinner,2,Yes,Male,0.1552
30.23,4.36,Sun,Lunch,4,No,Female,0.1443
22.47,4.36,Sat,Lunch,6,Yes,Male,0.194
38.83,7.56,Thu,Dinner,3,No,Male,0.1947
59.18,10.36,Sun,Lunch,3,Yes,Male,0.1751
36.44,5.55,Sat,Dinner,2,No,Male,0.1524
32.75,5.95,Sun,Lunch,3,No,Female,0.1816
45.46,7.46,Fri,Lunch,3,No,Female,0.1641
49.32,8.64,Sun,Dinner,5,No,Male,0.1752
47.07,8.86,Thu,Dinner,4,No,Female,0.1882
27.79,4.8,Sat,Lunch,2,Yes,Female,0.1729
14.49,1.96,Thu,Lunch,2,No,Male,0.1356
40.31,7.21,Sun,Dinner,5,No,Female,0.179
43.55,8.47,Sun,Lunch,2,No,Female,0.1945
35.16,6.33,Fri,Dinner,3,No,Female,0.1801
42.19,7.81,Fri,Dinner,5,No,Male,0.1851
24.45,3.25,Thu,Lunch,3,No,Male,0.133
41.31,7.49,Fri,Dinner,3,No,Female,0.1814
72.81,14.63,Fri,Dinner,5,No,Male,0.2009
20.75,3.44,Fri,Lunch,1,No,Male,0.1656
17.93,3.34,Fri,Lunch,3,Yes,Male,0.1865
71.32,13.66,Sat,Lunch,4,Yes,Female,0.1915
20.15,3.23,Sun,Lunch,3,No,Female,0.1604
48.76,7.76,Fri,Dinner,3,Yes,Female,0.1591
14.8,2.46,Thu,Lunch,3,Yes,Female,0.166
75.01,15.67,Sun,Dinner,2,No,Male,0.209
23.72,4.15,Fri,Lunch,4,No,Male,0.1747
50.8,9.84,Fri,Dinner,4,No,Female,0.1937
37.39,6.56,Fri,Lunch,4,No,Male,0.1754
57.55,9.29,Sat,Lunch,3,Yes,Male,0.1614
