student_id,grade_level,activities,absences,tardies,homework_completion_pct,test_average_pct
6001,12,1 Club/Sport,1,3,90.9,88.15
6002,11,1 Club/Sport,6,1,76.42,71.6
6003,10,1 Club/Sport,3,3,96.64,68.92
6004,10,1 Club/Sport,3,2,87.03,60.7
6005,10,None,5,4,76.68,78.68
6006,11,None,5,2,66.23,61.97
6007,9,None,4,1,96.99,70.62
6008,9,2+ Clubs/Sports,7,1,91.81,86.09
6009,11,None,1,6,87.85,76.83
6010,9,None,1,2,84.66,82.84
6011,11,1 Club/Sport,8,3,76.36,66.77
6012,12,1 Club/Sport,4,6,76.6,64.71
6013,9,1 Club/Sport,1,2,89.04,74.28
6014,11,1 Club/Sport,3,3,76.13,80.61
6015,12,1 Club/Sport,4,4,89.3,66.02
6016,10,1 Club/Sport,4,5,93.19,72.0
6017,11,2+ Clubs/Sports,6,3,75.02,58.79
6018,9,1 Club/Sport,3,3,74.69,91.6
6019,11,1 Club/Sport,3,3,81.5,54.13
6020,12,None,4,2,74.6,87.8
6021,11,None,7,5,61.82,67.59
6022,10,2+ Clubs/Sports,7,4,89.6,75.4
6023,10,None,3,2,65.74,41.49
6024,9,None,7,1,67.98,76.67
6025,9,1 Club/Sport,6,2,80.28,60.61
6026,12,None,4,4,85.64,62.46
6027,12,1 Club/Sport,3,5,79.5,82.71
6028,12,1 Club/Sport,5,3,83.63,71.87
6029,12,1 Club/Sport,3,4,71.93,61.89
6030,11,None,3,2,75.49,73.08
6031,11,1 Club/Sport,2,7,79.03,77.56
6032,12,None,2,4,79.63,79.9
6033,11,2+ Clubs/Sports,4,3,74.48,71.06
6034,11,2+ Clubs/Sports,6,3,71.13,69.64
6035,11,None,7,3,65.14,48.97
6036,12,None,3,2,44.07,63.03
6037,12,None,10,4,79.82,60.03
6038,9,2+ Clubs/Sports,4,5,75.13,83.56
6039,10,1 Club/Sport,5,3,73.95,75.42
6040,10,2+ Clubs/Sports,1,2,76.59,95.27
6041,9,1 Club/Sport,9,3,62.1,82.57
6042,9,None,4,5,82.03,72.33
6043,11,1 Club/Sport,2,0,81.61,44.4
6044,9,None,5,0,87.1,68.32
6045,11,1 Club/Sport,1,5,84.98,79.29
6046,11,1 Club/Sport,5,2,90.12,74.98
6047,12,2+ Clubs/Sports,6,3,100.0,65.06
6048,11,1 Club/Sport,2,2,78.08,75.73
