season,weekday,temperature_f,humidity_pct,wind_speed_mph,rainfall_inches,energy_use_kwh
Summer,Tue,74.08,82.16,13.04,0.0,34.978
Fall,Wed,64.27,74.35,10.35,0.0,25.393
Fall,Thu,60.11,76.14,11.83,0.0,30.777
Summer,Sat,65.04,57.9,15.73,0.181,29.533
Spring,Fri,64.22,45.9,13.28,0.0,25.033
Summer,Wed,61.43,64.28,9.41,0.0,27.509
Winter,Sat,28.46,63.66,5.04,0.0,45.0
Winter,Sat,40.21,44.41,18.49,1.436,44.168
Fall,Thu,58.64,63.01,5.67,0.283,30.795
Summer,Wed,79.13,65.7,12.23,0.165,39.171
Winter,Thu,31.59,77.9,10.52,0.0,45.0
Winter,Fri,34.88,74.78,7.71,0.315,45.0
Fall,Mon,53.94,76.93,12.64,0.0,36.668
Winter,Tue,34.12,59.46,12.57,0.0,45.0
Fall,Thu,62.44,23.97,8.51,0.0,25.446
Winter,Fri,36.37,68.78,10.49,0.306,45.0
Spring,Fri,49.72,35.18,14.05,0.0,34.707
Summer,Tue,84.92,47.06,13.13,0.007,41.639
Fall,Mon,57.06,44.93,6.63,0.0,32.827
Winter,Fri,45.1,61.24,16.33,0.312,42.631
Spring,Wed,48.05,58.01,12.07,0.0,39.085
Spring,Mon,59.19,54.02,7.17,0.105,29.143
Fall,Mon,55.33,78.14,5.64,0.0,34.202
Spring,Mon,58.16,41.9,11.46,0.314,28.276
Spring,Tue,59.38,78.21,6.65,0.16,34.053
Winter,Wed,26.83,67.17,0.0,0.323,45.0
Spring,Sun,46.24,92.38,13.3,0.281,44.878
Summer,Sat,73.17,52.69,11.36,0.251,31.827
Spring,Thu,65.75,57.5,6.47,0.195,25.615
Winter,Sun,39.44,45.77,10.22,0.0,45.0
Fall,Sat,82.02,51.64,6.51,0.687,39.253
Fall,Mon,41.41,60.45,7.9,0.303,45.0
Summer,Tue,83.91,60.52,14.59,0.0,43.838
Spring,Wed,59.35,60.92,9.62,0.0,28.979
Fall,Tue,67.48,44.41,12.06,0.018,28.912
Winter,Tue,16.47,86.08,6.87,0.0,45.0
Summer,Sun,67.54,80.9,7.63,0.0,31.357
Winter,Mon,36.28,60.93,9.67,0.0,45.0
Winter,Wed,28.21,85.21,9.08,0.411,45.0
Fall,Fri,74.17,53.25,10.17,0.0,33.899
Spring,Sun,74.49,48.14,7.68,0.0,34.703
Winter,Sat,38.38,55.16,4.69,0.683,44.867
Summer,Fri,85.47,68.42,14.74,0.0,40.798
Winter,Wed,42.65,57.88,9.14,0.0,38.272
Fall,Wed,61.88,68.14,8.84,0.0,29.764
Spring,Sun,61.76,79.08,10.49,0.027,30.955
Fall,Mon,65.32,66.79,2.17,0.0,22.834
Winter,Tue,16.24,69.42,11.25,0.0,45.0
Fall,Mon,65.58,48.16,11.3,0.0,23.75
Summer,Thu,72.99,33.82,15.62,0.398,32.544
Fall,Fri,54.95,74.48,8.79,0.0,33.409
Spring,Mon,68.35,51.1,9.31,0.0,25.162
Winter,Tue,27.68,52.99,12.55,0.058,45.0
Winter,Sun,34.15,71.23,13.56,0.216,45.0
Summer,Tue,85.8,68.35,16.84,0.0,42.949
Summer,Mon,73.31,59.99,6.81,0.295,32.195
Fall,Wed,58.21,65.33,14.2,0.183,31.979
Summer,Mon,88.87,57.96,6.33,0.0,42.095
Spring,Mon,46.12,69.07,12.53,0.0,40.264
Winter,Tue,39.18,67.78,4.59,0.0,43.692
Summer,Fri,79.23,67.34,3.45,0.0,35.837
Fall,Fri,63.31,56.73,14.95,0.0,25.472
Winter,Sun,32.5,56.36,14.67,0.0,45.0
Spring,Thu,60.42,61.02,14.59,0.0,27.299
Spring,Sun,69.29,70.86,6.0,0.109,27.931
Summer,Mon,90.9,62.25,18.33,0.0,45.0
Winter,Sun,34.32,64.76,10.55,0.278,45.0
Fall,Sun,75.49,83.09,9.17,0.0,31.434
Winter,Fri,52.08,77.26,11.43,0.0,36.576
Winter,Wed,24.41,57.98,6.36,0.97,45.0
Winter,Fri,37.34,54.94,9.25,0.0,44.763
Summer,Mon,86.23,55.92,10.21,0.215,39.805
Winter,Tue,28.93,86.13,11.08,0.06,45.0
Fall,Fri,58.5,69.87,12.53,1.379,34.806
Fall,Mon,53.6,44.18,6.9,0.0,34.97
Fall,Fri,68.25,47.2,11.37,0.0,30.789
Summer,Mon,72.0,45.81,5.46,0.0,27.538
Spring,Fri,53.64,74.59,17.04,0.0,35.714
Spring,Sun,55.86,57.03,6.39,0.0,30.736
Summer,Thu,95.23,42.03,3.94,0.0,45.0
Winter,Tue,55.39,51.17,6.61,0.0,33.285
Winter,Mon,41.92,61.78,4.79,0.0,43.648
Fall,Fri,58.03,29.33,8.53,0.151,31.324
Spring,Thu,64.44,60.8,6.5,0.0,23.26
Fall,Sun,64.28,47.83,12.51,0.0,27.629
Winter,Thu,32.42,63.66,4.56,0.0,45.0
Winter,Sun,39.12,56.22,9.03,0.0,45.0
Summer,Sat,62.45,60.05,12.29,0.33,33.217
Spring,Sun,53.16,37.75,13.37,0.287,31.421
Spring,Sat,38.33,61.63,5.5,0.0,45.0
Spring,Sat,53.39,36.84,11.98,0.0,38.072
Winter,Thu,27.28,52.71,1.55,0.0,45.0
Winter,Sat,36.42,70.84,12.17,0.632,45.0
Winter,Sun,40.32,42.32,14.26,0.0,45.0
Spring,Wed,60.92,77.62,11.55,0.0,28.836
Summer,Wed,84.27,78.17,13.62,0.508,44.046
Winter,Thu,44.96,57.23,14.43,0.38,41.705
Spring,Fri,59.46,81.1,9.24,0.0,30.669
Spring,Wed,57.69,58.89,3.78,0.743,31.311
Spring,Thu,46.13,37.32,5.46,0.0,35.987
Fall,Fri,57.3,65.18,5.6,0.0,33.718
Winter,Wed,22.06,47.84,10.89,0.0,45.0
Fall,Sat,74.38,46.03,12.59,0.0,34.763
Winter,Mon,41.69,45.98,13.02,0.16,44.67
Spring,Wed,50.76,64.18,12.39,0.0,35.737
Summer,Sun,71.33,59.72,15.73,0.084,33.793
Summer,Mon,76.93,55.63,15.17,0.0,34.997
Fall,Sat,56.96,50.51,11.94,0.0,30.243
Spring,Fri,81.14,51.25,18.73,0.0,39.173
Summer,Wed,69.23,60.56,9.36,0.172,31.241
Winter,Wed,24.44,62.0,17.3,0.0,45.0
Spring,Tue,71.02,51.99,13.3,0.549,34.675
Spring,Wed,49.09,59.35,10.56,0.0,38.603
Spring,Fri,57.58,57.34,9.24,0.0,28.462
Winter,Wed,26.3,72.59,10.2,0.0,45.0
Winter,Wed,28.16,72.64,8.73,0.0,45.0
Summer,Thu,78.65,70.38,17.8,0.0,37.457
Fall,Mon,52.2,79.39,4.89,0.0,33.856
Fall,Thu,59.05,81.57,20.81,0.0,33.51
Fall,Thu,49.88,86.61,13.54,0.0,35.092
Winter,Wed,45.39,56.2,7.15,0.056,40.449
Fall,Fri,56.3,38.28,7.6,0.0,29.67
Spring,Mon,81.22,64.37,2.59,0.031,35.872
Summer,Wed,76.77,63.28,11.34,0.184,33.65
Spring,Fri,51.83,50.53,4.99,0.0,34.269
Fall,Wed,57.56,72.07,6.93,0.077,30.305
Spring,Tue,50.26,45.53,8.36,0.0,37.075
Summer,Thu,80.48,82.83,11.7,0.047,36.995
Spring,Tue,69.59,51.53,12.01,0.224,27.798
Fall,Mon,68.05,65.69,11.4,0.0,28.988
Summer,Tue,86.9,60.81,15.82,0.957,43.247
Spring,Tue,67.56,55.45,12.8,0.051,28.971
Winter,Wed,17.52,66.07,10.45,0.0,45.0
Summer,Wed,63.35,40.37,0.47,0.0,27.266
Winter,Sun,15.37,52.66,8.54,0.0,45.0
Summer,Mon,82.3,52.61,10.3,0.0,40.096
Fall,Wed,39.92,56.43,12.93,0.0,45.0
Summer,Sun,78.47,59.5,6.12,0.0,35.881
Spring,Fri,58.38,67.75,7.69,0.0,31.212
Fall,Tue,50.2,71.11,12.42,0.0,33.235
Winter,Wed,48.22,71.85,3.04,0.0,35.633
Summer,Sun,98.0,60.95,4.02,0.0,45.0
Spring,Thu,54.59,43.43,6.52,0.0,32.481
Summer,Sat,77.4,67.64,11.87,0.0,37.372
Fall,Fri,66.95,74.3,3.04,0.308,28.106
Spring,Sat,59.92,45.05,6.64,0.0,28.526
Spring,Sat,48.76,89.4,9.61,0.0,40.018
Summer,Sun,79.9,33.6,5.74,0.0,36.554
Winter,Sat,27.74,59.66,10.58,0.378,45.0
Fall,Mon,45.86,82.29,10.3,0.0,38.087
Winter,Fri,26.24,59.13,14.03,0.868,45.0
Spring,Tue,39.73,84.36,10.12,0.0,45.0
Summer,Wed,75.63,45.28,6.2,0.231,31.873
Summer,Mon,73.43,61.75,9.9,0.0,34.585
Summer,Wed,77.06,50.58,12.5,0.0,33.195
Summer,Sat,90.99,49.93,8.45,0.0,45.0
Spring,Mon,54.15,62.77,3.6,0.0,33.305
Spring,Mon,57.94,63.59,4.59,0.0,31.471
Winter,Fri,33.82,60.1,9.21,0.476,45.0
Fall,Fri,69.09,64.07,7.98,0.851,29.003
Fall,Tue,60.35,84.21,2.77,0.0,32.622
Fall,Fri,57.13,62.84,0.0,0.0,34.377
Spring,Thu,50.23,72.07,8.28,0.0,36.4
Winter,Thu,27.2,60.86,11.2,0.0,45.0
Fall,Tue,73.56,58.61,8.23,0.0,31.386
Spring,Sun,53.21,76.19,3.18,0.0,35.793
Summer,Wed,81.89,75.81,7.84,0.321,39.441
Summer,Wed,78.74,51.18,9.0,0.192,34.5
Winter,Mon,58.97,56.08,8.29,0.281,31.661
Spring,Wed,40.72,82.01,8.58,0.0,45.0
Summer,Sat,79.71,62.59,3.57,0.0,36.104
Fall,Mon,61.76,58.94,10.06,0.053,26.375
Winter,Thu,30.65,70.08,4.88,0.0,45.0
Fall,Tue,59.71,62.08,1.41,1.556,30.861
Winter,Fri,44.8,57.2,7.87,0.0,41.169
Winter,Wed,46.84,48.86,8.39,0.966,38.343
Fall,Fri,63.46,60.61,5.45,0.116,24.974
Winter,Mon,34.47,51.11,11.65,0.0,45.0
Summer,Sun,73.33,41.77,9.99,0.0,32.074
Fall,Thu,69.25,37.34,9.15,0.0,28.476
Summer,Thu,76.25,69.41,12.33,0.108,33.572
Winter,Sat,20.96,56.73,11.16,0.102,45.0
Spring,Mon,57.09,43.77,16.41,0.0,33.007
Winter,Wed,31.66,51.27,8.21,0.202,45.0
Winter,Sat,31.26,73.14,13.78,0.0,45.0
Spring,Thu,52.09,55.77,6.9,0.0,31.497
Fall,Tue,65.34,39.36,8.06,0.0,20.77
Winter,Thu,19.98,47.63,11.09,0.0,45.0
Fall,Wed,64.88,95.0,9.93,0.528,26.282
Winter,Tue,34.1,45.35,14.95,0.154,45.0
Fall,Wed,47.23,73.95,8.17,0.307,39.352
Spring,Thu,52.41,49.25,13.14,0.234,32.425
Spring,Wed,66.75,42.4,6.72,0.0,26.763
Spring,Thu,63.88,69.11,9.76,0.0,25.598
Spring,Tue,35.64,66.26,10.05,0.327,45.0
Summer,Sat,68.63,81.82,4.4,0.0,31.346
Spring,Tue,44.33,59.77,6.25,0.355,44.83
Summer,Sat,78.33,47.39,5.09,0.0,34.965
Spring,Sun,70.61,63.83,9.16,0.204,35.172
Winter,Fri,36.1,51.55,0.19,0.158,45.0
Summer,Sat,68.56,49.87,11.71,1.871,35.376
Summer,Mon,88.3,61.52,10.9,0.355,45.0
Summer,Wed,82.36,62.52,8.71,0.0,36.496
Fall,Mon,53.03,25.12,14.05,0.0,32.661
Fall,Sat,55.76,41.42,3.03,0.439,33.266
Spring,Mon,60.03,71.78,3.83,0.376,29.746
Winter,Tue,38.0,65.64,4.0,0.0,43.666
Spring,Tue,56.62,70.44,7.8,0.638,34.389
Winter,Sat,36.81,74.87,9.71,0.628,45.0
Spring,Fri,70.88,52.72,8.76,0.129,28.36
